REF_DATE,GEO,Finfish and shellfish,Production,SCALAR_FACTOR,VALUE,STATUS
1991,Canada,Total aquaculture,Tonnes,units,49594,
1991,Canada,Total aquaculture,Dollars,thousands,233559,
1991,Canada,Total finfish,Tonnes,units,39004,
1991,Canada,Total finfish,Dollars,thousands,221328,
1991,Canada,Total shellfish,Tonnes,units,10590,
1991,Canada,Total shellfish,Dollars,thousands,12231,
1991,Newfoundland and Labrador,Total aquaculture,Tonnes,units,474,
1991,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,1108,
1991,Newfoundland and Labrador,Total finfish,Tonnes,units,152,
1991,Newfoundland and Labrador,Total finfish,Dollars,thousands,540,
1991,Newfoundland and Labrador,Total shellfish,Tonnes,units,322,
1991,Newfoundland and Labrador,Total shellfish,Dollars,thousands,568,
1991,Prince Edward Island,Total aquaculture,Tonnes,units,5141,
1991,Prince Edward Island,Total aquaculture,Dollars,thousands,6973,
1991,Prince Edward Island,Total finfish,Tonnes,units,37,
1991,Prince Edward Island,Total finfish,Dollars,thousands,309,
1991,Prince Edward Island,Total shellfish,Tonnes,units,5104,
1991,Prince Edward Island,Total shellfish,Dollars,thousands,6664,
1991,Nova Scotia,Total aquaculture,Tonnes,units,1242,
1991,Nova Scotia,Total aquaculture,Dollars,thousands,6397,
1991,Nova Scotia,Total finfish,Tonnes,units,1010,
1991,Nova Scotia,Total finfish,Dollars,thousands,6095,
1991,Nova Scotia,Total shellfish,Tonnes,units,232,
1991,Nova Scotia,Total shellfish,Dollars,thousands,302,
1991,New Brunswick,Total aquaculture,Tonnes,units,9463,
1991,New Brunswick,Total aquaculture,Dollars,thousands,82270,
1991,New Brunswick,Total finfish,Tonnes,units,9272,
1991,New Brunswick,Total finfish,Dollars,thousands,81700,
1991,New Brunswick,Total shellfish,Tonnes,units,191,
1991,New Brunswick,Total shellfish,Dollars,thousands,570,
1991,Quebec,Total aquaculture,Tonnes,units,1590,
1991,Quebec,Total aquaculture,Dollars,thousands,9746,
1991,Quebec,Total finfish,Tonnes,units,1500,
1991,Quebec,Total finfish,Dollars,thousands,9640,
1991,Quebec,Total shellfish,Tonnes,units,90,
1991,Quebec,Total shellfish,Dollars,thousands,106,
1991,Ontario,Total aquaculture,Tonnes,units,2380,
1991,Ontario,Total aquaculture,Dollars,thousands,10900,
1991,Ontario,Total finfish,Tonnes,units,2380,
1991,Ontario,Total finfish,Dollars,thousands,10900,
1991,Ontario,Total shellfish,Tonnes,units,0,
1991,Ontario,Total shellfish,Dollars,thousands,0,
1991,Manitoba,Total aquaculture,Tonnes,units,,x
1991,Manitoba,Total aquaculture,Dollars,thousands,,x
1991,Manitoba,Total finfish,Tonnes,units,,x
1991,Manitoba,Total finfish,Dollars,thousands,,x
1991,Manitoba,Total shellfish,Tonnes,units,0,
1991,Manitoba,Total shellfish,Dollars,thousands,0,
1991,Saskatchewan,Total aquaculture,Tonnes,units,110,
1991,Saskatchewan,Total aquaculture,Dollars,thousands,240,
1991,Saskatchewan,Total finfish,Tonnes,units,110,
1991,Saskatchewan,Total finfish,Dollars,thousands,240,
1991,Saskatchewan,Total shellfish,Tonnes,units,0,
1991,Saskatchewan,Total shellfish,Dollars,thousands,0,
1991,Alberta,Total aquaculture,Tonnes,units,34,
1991,Alberta,Total aquaculture,Dollars,thousands,187,
1991,Alberta,Total finfish,Tonnes,units,34,
1991,Alberta,Total finfish,Dollars,thousands,187,
1991,Alberta,Total shellfish,Tonnes,units,0,
1991,Alberta,Total shellfish,Dollars,thousands,0,
1991,British Columbia,Total aquaculture,Tonnes,units,29126,
1991,British Columbia,Total aquaculture,Dollars,thousands,115472,
1991,British Columbia,Total finfish,Tonnes,units,24475,
1991,British Columbia,Total finfish,Dollars,thousands,111451,
1991,British Columbia,Total shellfish,Tonnes,units,4651,
1991,British Columbia,Total shellfish,Dollars,thousands,4021,
1992,Canada,Total aquaculture,Tonnes,units,46931,
1992,Canada,Total aquaculture,Dollars,thousands,244014,
1992,Canada,Total finfish,Tonnes,units,35808,
1992,Canada,Total finfish,Dollars,thousands,231068,
1992,Canada,Total shellfish,Tonnes,units,11123,
1992,Canada,Total shellfish,Dollars,thousands,12946,
1992,Newfoundland and Labrador,Total aquaculture,Tonnes,units,328,
1992,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,1366,
1992,Newfoundland and Labrador,Total finfish,Tonnes,units,166,
1992,Newfoundland and Labrador,Total finfish,Dollars,thousands,1219,
1992,Newfoundland and Labrador,Total shellfish,Tonnes,units,162,
1992,Newfoundland and Labrador,Total shellfish,Dollars,thousands,147,
1992,Prince Edward Island,Total aquaculture,Tonnes,units,5406,
1992,Prince Edward Island,Total aquaculture,Dollars,thousands,7265,
1992,Prince Edward Island,Total finfish,Tonnes,units,42,
1992,Prince Edward Island,Total finfish,Dollars,thousands,244,
1992,Prince Edward Island,Total shellfish,Tonnes,units,5364,
1992,Prince Edward Island,Total shellfish,Dollars,thousands,7021,
1992,Nova Scotia,Total aquaculture,Tonnes,units,1217,
1992,Nova Scotia,Total aquaculture,Dollars,thousands,6633,
1992,Nova Scotia,Total finfish,Tonnes,units,744,
1992,Nova Scotia,Total finfish,Dollars,thousands,6048,
1992,Nova Scotia,Total shellfish,Tonnes,units,473,
1992,Nova Scotia,Total shellfish,Dollars,thousands,585,
1992,New Brunswick,Total aquaculture,Tonnes,units,10614,
1992,New Brunswick,Total aquaculture,Dollars,thousands,85230,
1992,New Brunswick,Total finfish,Tonnes,units,10375,
1992,New Brunswick,Total finfish,Dollars,thousands,84800,
1992,New Brunswick,Total shellfish,Tonnes,units,239,
1992,New Brunswick,Total shellfish,Dollars,thousands,430,
1992,Quebec,Total aquaculture,Tonnes,units,1512,
1992,Quebec,Total aquaculture,Dollars,thousands,7388,
1992,Quebec,Total finfish,Tonnes,units,1425,
1992,Quebec,Total finfish,Dollars,thousands,7224,
1992,Quebec,Total shellfish,Tonnes,units,87,
1992,Quebec,Total shellfish,Dollars,thousands,164,
1992,Ontario,Total aquaculture,Tonnes,units,2820,
1992,Ontario,Total aquaculture,Dollars,thousands,14100,
1992,Ontario,Total finfish,Tonnes,units,2820,
1992,Ontario,Total finfish,Dollars,thousands,14100,
1992,Ontario,Total shellfish,Tonnes,units,0,
1992,Ontario,Total shellfish,Dollars,thousands,0,
1992,Manitoba,Total aquaculture,Tonnes,units,,x
1992,Manitoba,Total aquaculture,Dollars,thousands,,x
1992,Manitoba,Total finfish,Tonnes,units,,x
1992,Manitoba,Total finfish,Dollars,thousands,,x
1992,Manitoba,Total shellfish,Tonnes,units,0,
1992,Manitoba,Total shellfish,Dollars,thousands,0,
1992,Saskatchewan,Total aquaculture,Tonnes,units,160,
1992,Saskatchewan,Total aquaculture,Dollars,thousands,540,
1992,Saskatchewan,Total finfish,Tonnes,units,160,
1992,Saskatchewan,Total finfish,Dollars,thousands,540,
1992,Saskatchewan,Total shellfish,Tonnes,units,0,
1992,Saskatchewan,Total shellfish,Dollars,thousands,0,
1992,Alberta,Total aquaculture,Tonnes,units,96,
1992,Alberta,Total aquaculture,Dollars,thousands,420,
1992,Alberta,Total finfish,Tonnes,units,96,
1992,Alberta,Total finfish,Dollars,thousands,420,
1992,Alberta,Total shellfish,Tonnes,units,0,
1992,Alberta,Total shellfish,Dollars,thousands,0,
1992,British Columbia,Total aquaculture,Tonnes,units,24689,
1992,British Columbia,Total aquaculture,Dollars,thousands,120441,
1992,British Columbia,Total finfish,Tonnes,units,19891,
1992,British Columbia,Total finfish,Dollars,thousands,115842,
1992,British Columbia,Total shellfish,Tonnes,units,4798,
1992,British Columbia,Total shellfish,Dollars,thousands,4599,
1993,Canada,Total aquaculture,Tonnes,units,53927,
1993,Canada,Total aquaculture,Dollars,thousands,277604,
1993,Canada,Total finfish,Tonnes,units,42349,
1993,Canada,Total finfish,Dollars,thousands,263942,
1993,Canada,Total shellfish,Tonnes,units,11578,
1993,Canada,Total shellfish,Dollars,thousands,13662,
1993,Newfoundland and Labrador,Total aquaculture,Tonnes,units,445,
1993,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,2114,
1993,Newfoundland and Labrador,Total finfish,Tonnes,units,218,
1993,Newfoundland and Labrador,Total finfish,Dollars,thousands,1913,
1993,Newfoundland and Labrador,Total shellfish,Tonnes,units,227,
1993,Newfoundland and Labrador,Total shellfish,Dollars,thousands,201,
1993,Prince Edward Island,Total aquaculture,Tonnes,units,5680,
1993,Prince Edward Island,Total aquaculture,Dollars,thousands,7244,
1993,Prince Edward Island,Total finfish,Tonnes,units,35,
1993,Prince Edward Island,Total finfish,Dollars,thousands,247,
1993,Prince Edward Island,Total shellfish,Tonnes,units,5645,
1993,Prince Edward Island,Total shellfish,Dollars,thousands,6997,
1993,Nova Scotia,Total aquaculture,Tonnes,units,1415,
1993,Nova Scotia,Total aquaculture,Dollars,thousands,7930,
1993,Nova Scotia,Total finfish,Tonnes,units,1135,
1993,Nova Scotia,Total finfish,Dollars,thousands,7400,
1993,Nova Scotia,Total shellfish,Tonnes,units,280,
1993,Nova Scotia,Total shellfish,Dollars,thousands,530,
1993,New Brunswick,Total aquaculture,Tonnes,units,10795,
1993,New Brunswick,Total aquaculture,Dollars,thousands,92280,
1993,New Brunswick,Total finfish,Tonnes,units,10525,
1993,New Brunswick,Total finfish,Dollars,thousands,91680,
1993,New Brunswick,Total shellfish,Tonnes,units,270,
1993,New Brunswick,Total shellfish,Dollars,thousands,600,
1993,Quebec,Total aquaculture,Tonnes,units,1458,
1993,Quebec,Total aquaculture,Dollars,thousands,7299,
1993,Quebec,Total finfish,Tonnes,units,1424,
1993,Quebec,Total finfish,Dollars,thousands,7224,
1993,Quebec,Total shellfish,Tonnes,units,34,
1993,Quebec,Total shellfish,Dollars,thousands,75,
1993,Ontario,Total aquaculture,Tonnes,units,3020,
1993,Ontario,Total aquaculture,Dollars,thousands,15280,
1993,Ontario,Total finfish,Tonnes,units,3020,
1993,Ontario,Total finfish,Dollars,thousands,15280,
1993,Ontario,Total shellfish,Tonnes,units,0,
1993,Ontario,Total shellfish,Dollars,thousands,0,
1993,Manitoba,Total aquaculture,Tonnes,units,,x
1993,Manitoba,Total aquaculture,Dollars,thousands,,x
1993,Manitoba,Total finfish,Tonnes,units,,x
1993,Manitoba,Total finfish,Dollars,thousands,,x
1993,Manitoba,Total shellfish,Tonnes,units,0,
1993,Manitoba,Total shellfish,Dollars,thousands,0,
1993,Saskatchewan,Total aquaculture,Tonnes,units,160,
1993,Saskatchewan,Total aquaculture,Dollars,thousands,540,
1993,Saskatchewan,Total finfish,Tonnes,units,160,
1993,Saskatchewan,Total finfish,Dollars,thousands,540,
1993,Saskatchewan,Total shellfish,Tonnes,units,0,
1993,Saskatchewan,Total shellfish,Dollars,thousands,0,
1993,Alberta,Total aquaculture,Tonnes,units,127,
1993,Alberta,Total aquaculture,Dollars,thousands,560,
1993,Alberta,Total finfish,Tonnes,units,127,
1993,Alberta,Total finfish,Dollars,thousands,560,
1993,Alberta,Total shellfish,Tonnes,units,0,
1993,Alberta,Total shellfish,Dollars,thousands,0,
1993,British Columbia,Total aquaculture,Tonnes,units,30728,
1993,British Columbia,Total aquaculture,Dollars,thousands,143659,
1993,British Columbia,Total finfish,Tonnes,units,25606,
1993,British Columbia,Total finfish,Dollars,thousands,138400,
1993,British Columbia,Total shellfish,Tonnes,units,5122,
1993,British Columbia,Total shellfish,Dollars,thousands,5259,
1994,Canada,Total aquaculture,Tonnes,units,57147,
1994,Canada,Total aquaculture,Dollars,thousands,301992,
1994,Canada,Total finfish,Tonnes,units,42119,
1994,Canada,Total finfish,Dollars,thousands,283082,
1994,Canada,Total shellfish,Tonnes,units,15028,
1994,Canada,Total shellfish,Dollars,thousands,18910,
1994,Newfoundland and Labrador,Total aquaculture,Tonnes,units,792,
1994,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,2510,
1994,Newfoundland and Labrador,Total finfish,Tonnes,units,380,
1994,Newfoundland and Labrador,Total finfish,Dollars,thousands,2137,
1994,Newfoundland and Labrador,Total shellfish,Tonnes,units,412,
1994,Newfoundland and Labrador,Total shellfish,Dollars,thousands,373,
1994,Prince Edward Island,Total aquaculture,Tonnes,units,8016,
1994,Prince Edward Island,Total aquaculture,Dollars,thousands,10008,
1994,Prince Edward Island,Total finfish,Tonnes,units,31,
1994,Prince Edward Island,Total finfish,Dollars,thousands,213,
1994,Prince Edward Island,Total shellfish,Tonnes,units,7985,
1994,Prince Edward Island,Total shellfish,Dollars,thousands,9795,
1994,Nova Scotia,Total aquaculture,Tonnes,units,1282,
1994,Nova Scotia,Total aquaculture,Dollars,thousands,5690,
1994,Nova Scotia,Total finfish,Tonnes,units,734,
1994,Nova Scotia,Total finfish,Dollars,thousands,4728,
1994,Nova Scotia,Total shellfish,Tonnes,units,548,
1994,Nova Scotia,Total shellfish,Dollars,thousands,962,
1994,New Brunswick,Total aquaculture,Tonnes,units,12657,
1994,New Brunswick,Total aquaculture,Dollars,thousands,95720,
1994,New Brunswick,Total finfish,Tonnes,units,12166,
1994,New Brunswick,Total finfish,Dollars,thousands,94638,
1994,New Brunswick,Total shellfish,Tonnes,units,491,
1994,New Brunswick,Total shellfish,Dollars,thousands,1082,
1994,Quebec,Total aquaculture,Tonnes,units,1533,
1994,Quebec,Total aquaculture,Dollars,thousands,9083,
1994,Quebec,Total finfish,Tonnes,units,1500,
1994,Quebec,Total finfish,Dollars,thousands,9000,
1994,Quebec,Total shellfish,Tonnes,units,33,
1994,Quebec,Total shellfish,Dollars,thousands,83,
1994,Ontario,Total aquaculture,Tonnes,units,3200,
1994,Ontario,Total aquaculture,Dollars,thousands,16192,
1994,Ontario,Total finfish,Tonnes,units,3200,
1994,Ontario,Total finfish,Dollars,thousands,16192,
1994,Ontario,Total shellfish,Tonnes,units,0,
1994,Ontario,Total shellfish,Dollars,thousands,0,
1994,Manitoba,Total aquaculture,Tonnes,units,,x
1994,Manitoba,Total aquaculture,Dollars,thousands,,x
1994,Manitoba,Total finfish,Tonnes,units,,x
1994,Manitoba,Total finfish,Dollars,thousands,,x
1994,Manitoba,Total shellfish,Tonnes,units,0,
1994,Manitoba,Total shellfish,Dollars,thousands,0,
1994,Saskatchewan,Total aquaculture,Tonnes,units,260,
1994,Saskatchewan,Total aquaculture,Dollars,thousands,1160,
1994,Saskatchewan,Total finfish,Tonnes,units,260,
1994,Saskatchewan,Total finfish,Dollars,thousands,1160,
1994,Saskatchewan,Total shellfish,Tonnes,units,0,
1994,Saskatchewan,Total shellfish,Dollars,thousands,0,
1994,Alberta,Total aquaculture,Tonnes,units,45,
1994,Alberta,Total aquaculture,Dollars,thousands,275,
1994,Alberta,Total finfish,Tonnes,units,45,
1994,Alberta,Total finfish,Dollars,thousands,275,
1994,Alberta,Total shellfish,Tonnes,units,0,
1994,Alberta,Total shellfish,Dollars,thousands,0,
1994,British Columbia,Total aquaculture,Tonnes,units,29291,
1994,British Columbia,Total aquaculture,Dollars,thousands,160806,
1994,British Columbia,Total finfish,Tonnes,units,23732,
1994,British Columbia,Total finfish,Dollars,thousands,154191,
1994,British Columbia,Total shellfish,Tonnes,units,5559,
1994,British Columbia,Total shellfish,Dollars,thousands,6615,
1995,Canada,Total aquaculture,Tonnes,units,66269,
1995,Canada,Total aquaculture,Dollars,thousands,341957,
1995,Canada,Total finfish,Tonnes,units,48854,
1995,Canada,Total finfish,Dollars,thousands,317753,
1995,Canada,Total shellfish,Tonnes,units,17415,
1995,Canada,Total shellfish,Dollars,thousands,24204,
1995,Newfoundland and Labrador,Total aquaculture,Tonnes,units,1006,
1995,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,3448,
1995,Newfoundland and Labrador,Total finfish,Tonnes,units,580,
1995,Newfoundland and Labrador,Total finfish,Dollars,thousands,3083,
1995,Newfoundland and Labrador,Total shellfish,Tonnes,units,426,
1995,Newfoundland and Labrador,Total shellfish,Dollars,thousands,365,
1995,Prince Edward Island,Total aquaculture,Tonnes,units,9320,
1995,Prince Edward Island,Total aquaculture,Dollars,thousands,12198,
1995,Prince Edward Island,Total finfish,Tonnes,units,59,
1995,Prince Edward Island,Total finfish,Dollars,thousands,532,
1995,Prince Edward Island,Total shellfish,Tonnes,units,9261,
1995,Prince Edward Island,Total shellfish,Dollars,thousands,11666,
1995,Nova Scotia,Total aquaculture,Tonnes,units,1808,
1995,Nova Scotia,Total aquaculture,Dollars,thousands,7618,
1995,Nova Scotia,Total finfish,Tonnes,units,1120,
1995,Nova Scotia,Total finfish,Dollars,thousands,6282,
1995,Nova Scotia,Total shellfish,Tonnes,units,688,
1995,Nova Scotia,Total shellfish,Dollars,thousands,1336,
1995,New Brunswick,Total aquaculture,Tonnes,units,15791,
1995,New Brunswick,Total aquaculture,Dollars,thousands,118911,
1995,New Brunswick,Total finfish,Tonnes,units,15040,
1995,New Brunswick,Total finfish,Dollars,thousands,117573,
1995,New Brunswick,Total shellfish,Tonnes,units,751,
1995,New Brunswick,Total shellfish,Dollars,thousands,1338,
1995,Quebec,Total aquaculture,Tonnes,units,999,
1995,Quebec,Total aquaculture,Dollars,thousands,3745,
1995,Quebec,Total finfish,Tonnes,units,883,
1995,Quebec,Total finfish,Dollars,thousands,3652,
1995,Quebec,Total shellfish,Tonnes,units,116,
1995,Quebec,Total shellfish,Dollars,thousands,93,
1995,Ontario,Total aquaculture,Tonnes,units,3300,
1995,Ontario,Total aquaculture,Dollars,thousands,13250,
1995,Ontario,Total finfish,Tonnes,units,3300,
1995,Ontario,Total finfish,Dollars,thousands,13250,
1995,Ontario,Total shellfish,Tonnes,units,0,
1995,Ontario,Total shellfish,Dollars,thousands,0,
1995,Manitoba,Total aquaculture,Tonnes,units,,x
1995,Manitoba,Total aquaculture,Dollars,thousands,,x
1995,Manitoba,Total finfish,Tonnes,units,,x
1995,Manitoba,Total finfish,Dollars,thousands,,x
1995,Manitoba,Total shellfish,Tonnes,units,0,
1995,Manitoba,Total shellfish,Dollars,thousands,0,
1995,Saskatchewan,Total aquaculture,Tonnes,units,322,
1995,Saskatchewan,Total aquaculture,Dollars,thousands,1420,
1995,Saskatchewan,Total finfish,Tonnes,units,322,
1995,Saskatchewan,Total finfish,Dollars,thousands,1420,
1995,Saskatchewan,Total shellfish,Tonnes,units,0,
1995,Saskatchewan,Total shellfish,Dollars,thousands,0,
1995,Alberta,Total aquaculture,Tonnes,units,109,
1995,Alberta,Total aquaculture,Dollars,thousands,660,
1995,Alberta,Total finfish,Tonnes,units,109,
1995,Alberta,Total finfish,Dollars,thousands,660,
1995,Alberta,Total shellfish,Tonnes,units,0,
1995,Alberta,Total shellfish,Dollars,thousands,0,
1995,British Columbia,Total aquaculture,Tonnes,units,33533,
1995,British Columbia,Total aquaculture,Dollars,thousands,180206,
1995,British Columbia,Total finfish,Tonnes,units,27360,
1995,British Columbia,Total finfish,Dollars,thousands,170800,
1995,British Columbia,Total shellfish,Tonnes,units,6173,
1995,British Columbia,Total shellfish,Dollars,thousands,9406,
1996,Canada,Total aquaculture,Tonnes,units,72572,
1996,Canada,Total aquaculture,Dollars,thousands,356241,
1996,Canada,Total finfish,Tonnes,units,53499,
1996,Canada,Total finfish,Dollars,thousands,327721,
1996,Canada,Total shellfish,Tonnes,units,19073,
1996,Canada,Total shellfish,Dollars,thousands,28520,
1996,Newfoundland and Labrador,Total aquaculture,Tonnes,units,1450,
1996,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,5485,
1996,Newfoundland and Labrador,Total finfish,Tonnes,units,1053,
1996,Newfoundland and Labrador,Total finfish,Dollars,thousands,5029,
1996,Newfoundland and Labrador,Total shellfish,Tonnes,units,397,
1996,Newfoundland and Labrador,Total shellfish,Dollars,thousands,456,
1996,Prince Edward Island,Total aquaculture,Tonnes,units,10557,
1996,Prince Edward Island,Total aquaculture,Dollars,thousands,14444,
1996,Prince Edward Island,Total finfish,Tonnes,units,64,
1996,Prince Edward Island,Total finfish,Dollars,thousands,806,
1996,Prince Edward Island,Total shellfish,Tonnes,units,10493,
1996,Prince Edward Island,Total shellfish,Dollars,thousands,13638,
1996,Nova Scotia,Total aquaculture,Tonnes,units,2284,
1996,Nova Scotia,Total aquaculture,Dollars,thousands,10421,
1996,Nova Scotia,Total finfish,Tonnes,units,1511,
1996,Nova Scotia,Total finfish,Dollars,thousands,8337,
1996,Nova Scotia,Total shellfish,Tonnes,units,773,
1996,Nova Scotia,Total shellfish,Dollars,thousands,2084,
1996,New Brunswick,Total aquaculture,Tonnes,units,17663,
