REF_DATE,GEO,Output and input components,SCALAR_FACTOR,VALUE,STATUS
1997,Canada,Gross output,thousands,511300,
1997,Canada,Total operating revenue,thousands,461400,
1997,Canada,Sales of aqua products and services,thousands,447300,
1997,Canada,Gross value added (factor cost),thousands,185970,
1997,Canada,Salaries and wages,thousands,71700,
1997,Newfoundland and Labrador,Gross output,thousands,8000,
1997,Newfoundland and Labrador,Total operating revenue,thousands,7000,
1997,Newfoundland and Labrador,Sales of aqua products and services,thousands,6300,
1997,Newfoundland and Labrador,Gross value added (factor cost),thousands,3350,
1997,Newfoundland and Labrador,Salaries and wages,thousands,2300,
1997,Prince Edward Island,Gross output,thousands,16500,
1997,Prince Edward Island,Total operating revenue,thousands,16500,
1997,Prince Edward Island,Sales of aqua products and services,thousands,16400,
1997,Prince Edward Island,Gross value added (factor cost),thousands,11500,
1997,Prince Edward Island,Salaries and wages,thousands,6500,
1997,Nova Scotia,Gross output,thousands,14700,
1997,Nova Scotia,Total operating revenue,thousands,11800,
1997,Nova Scotia,Sales of aqua products and services,thousands,11200,
1997,Nova Scotia,Gross value added (factor cost),thousands,5690,
1997,Nova Scotia,Salaries and wages,thousands,4000,
1997,New Brunswick,Gross output,thousands,166000,
1997,New Brunswick,Total operating revenue,thousands,164000,
1997,New Brunswick,Sales of aqua products and services,thousands,162000,
1997,New Brunswick,Gross value added (factor cost),thousands,56800,
1997,New Brunswick,Salaries and wages,thousands,23200,
1997,Quebec,Gross output,thousands,8100,
1997,Quebec,Total operating revenue,thousands,9100,
1997,Quebec,Sales of aqua products and services,thousands,8700,
1997,Quebec,Gross value added (factor cost),thousands,3010,
1997,Quebec,Salaries and wages,thousands,1700,
1997,Ontario,Gross output,thousands,23000,
1997,Ontario,Total operating revenue,thousands,23000,
1997,Ontario,Sales of aqua products and services,thousands,17900,
1997,Ontario,Gross value added (factor cost),thousands,8120,
1997,Ontario,Salaries and wages,thousands,4000,
1997,Prairie provinces,Gross output,thousands,,x
1997,Prairie provinces,Total operating revenue,thousands,,x
1997,Prairie provinces,Sales of aqua products and services,thousands,,x
1997,Prairie provinces,Gross value added (factor cost),thousands,,x
1997,Prairie provinces,Salaries and wages,thousands,,x
1997,British Columbia,Gross output,thousands,275000,
1997,British Columbia,Total operating revenue,thousands,230000,
1997,British Columbia,Sales of aqua products and services,thousands,224800,
1997,British Columbia,Gross value added (factor cost),thousands,97500,
1997,British Columbia,Salaries and wages,thousands,30000,
1998,Canada,Gross output,thousands,564680,
1998,Canada,Total operating revenue,thousands,539930,
1998,Canada,Sales of aqua products and services,thousands,520100,
1998,Canada,Gross value added (factor cost),thousands,226040,
1998,Canada,Salaries and wages,thousands,73300,
1998,Newfoundland and Labrador,Gross output,thousands,12030,
1998,Newfoundland and Labrador,Total operating revenue,thousands,11280,
1998,Newfoundland and Labrador,Sales of aqua products and services,thousands,9400,
1998,Newfoundland and Labrador,Gross value added (factor cost),thousands,3280,
1998,Newfoundland and Labrador,Salaries and wages,thousands,3000,
1998,Prince Edward Island,Gross output,thousands,21800,
1998,Prince Edward Island,Total operating revenue,thousands,21200,
1998,Prince Edward Island,Sales of aqua products and services,thousands,21100,
1998,Prince Edward Island,Gross value added (factor cost),thousands,15800,
1998,Prince Edward Island,Salaries and wages,thousands,8000,
1998,Nova Scotia,Gross output,thousands,24000,
1998,Nova Scotia,Total operating revenue,thousands,19500,
1998,Nova Scotia,Sales of aqua products and services,thousands,19100,
1998,Nova Scotia,Gross value added (factor cost),thousands,9480,
1998,Nova Scotia,Salaries and wages,thousands,6000,
1998,New Brunswick,Gross output,thousands,189800,
1998,New Brunswick,Total operating revenue,thousands,186800,
1998,New Brunswick,Sales of aqua products and services,thousands,181150,
1998,New Brunswick,Gross value added (factor cost),thousands,73050,
1998,New Brunswick,Salaries and wages,thousands,20000,
1998,Quebec,Gross output,thousands,9700,
1998,Quebec,Total operating revenue,thousands,9500,
1998,Quebec,Sales of aqua products and services,thousands,9250,
1998,Quebec,Gross value added (factor cost),thousands,4170,
1998,Quebec,Salaries and wages,thousands,1800,
1998,Ontario,Gross output,thousands,22250,
1998,Ontario,Total operating revenue,thousands,21550,
1998,Ontario,Sales of aqua products and services,thousands,16400,
1998,Ontario,Gross value added (factor cost),thousands,8300,
1998,Ontario,Salaries and wages,thousands,4000,
1998,Prairie provinces,Gross output,thousands,,x
1998,Prairie provinces,Total operating revenue,thousands,,x
1998,Prairie provinces,Sales of aqua products and services,thousands,,x
1998,Prairie provinces,Gross value added (factor cost),thousands,,x
1998,Prairie provinces,Salaries and wages,thousands,,x
1998,British Columbia,Gross output,thousands,285100,
1998,British Columbia,Total operating revenue,thousands,270100,
1998,British Columbia,Sales of aqua products and services,thousands,263700,
1998,British Columbia,Gross value added (factor cost),thousands,111960,
1998,British Columbia,Salaries and wages,thousands,30500,
1999,Canada,Gross output,thousands,707435,
1999,Canada,Total operating revenue,thousands,651315,
1999,Canada,Sales of aqua products and services,thousands,621430,
1999,Canada,Gross value added (factor cost),thousands,275930,
1999,Canada,Salaries and wages,thousands,85800,
1999,Newfoundland and Labrador,Gross output,thousands,14915,
1999,Newfoundland and Labrador,Total operating revenue,thousands,13515,
1999,Newfoundland and Labrador,Sales of aqua products and services,thousands,12800,
1999,Newfoundland and Labrador,Gross value added (factor cost),thousands,5980,
1999,Newfoundland and Labrador,Salaries and wages,thousands,3200,
1999,Prince Edward Island,Gross output,thousands,24000,
1999,Prince Edward Island,Total operating revenue,thousands,23400,
1999,Prince Edward Island,Sales of aqua products and services,thousands,23300,
1999,Prince Edward Island,Gross value added (factor cost),thousands,16950,
1999,Prince Edward Island,Salaries and wages,thousands,9000,
1999,Nova Scotia,Gross output,thousands,35600,
1999,Nova Scotia,Total operating revenue,thousands,29800,
1999,Nova Scotia,Sales of aqua products and services,thousands,29400,
1999,Nova Scotia,Gross value added (factor cost),thousands,17625,
1999,Nova Scotia,Salaries and wages,thousands,7500,
1999,New Brunswick,Gross output,thousands,265980,
1999,New Brunswick,Total operating revenue,thousands,235980,
1999,New Brunswick,Sales of aqua products and services,thousands,228360,
1999,New Brunswick,Gross value added (factor cost),thousands,88965,
1999,New Brunswick,Salaries and wages,thousands,25000,
1999,Quebec,Gross output,thousands,11370,
1999,Quebec,Total operating revenue,thousands,11370,
1999,Quebec,Sales of aqua products and services,thousands,11170,
1999,Quebec,Gross value added (factor cost),thousands,4825,
1999,Quebec,Salaries and wages,thousands,2200,
1999,Ontario,Gross output,thousands,22670,
1999,Ontario,Total operating revenue,thousands,22350,
1999,Ontario,Sales of aqua products and services,thousands,17000,
1999,Ontario,Gross value added (factor cost),thousands,7590,
1999,Ontario,Salaries and wages,thousands,3900,
1999,Prairie provinces,Gross output,thousands,,x
1999,Prairie provinces,Total operating revenue,thousands,,x
1999,Prairie provinces,Sales of aqua products and services,thousands,,x
1999,Prairie provinces,Gross value added (factor cost),thousands,,x
1999,Prairie provinces,Salaries and wages,thousands,,x
1999,British Columbia,Gross output,thousands,332900,
1999,British Columbia,Total operating revenue,thousands,314900,
1999,British Columbia,Sales of aqua products and services,thousands,299400,
1999,British Columbia,Gross value added (factor cost),thousands,133995,
1999,British Columbia,Salaries and wages,thousands,35000,
2000,Canada,Gross output,thousands,785470,
2000,Canada,Total operating revenue,thousands,731870,
2000,Canada,Sales of aqua products and services,thousands,701500,
2000,Canada,Gross value added (factor cost),thousands,307120,
2000,Canada,Salaries and wages,thousands,93000,
2000,Newfoundland and Labrador,Gross output,thousands,13000,
2000,Newfoundland and Labrador,Total operating revenue,thousands,13000,
2000,Newfoundland and Labrador,Sales of aqua products and services,thousands,12200,
2000,Newfoundland and Labrador,Gross value added (factor cost),thousands,4550,
2000,Newfoundland and Labrador,Salaries and wages,thousands,2800,
2000,Prince Edward Island,Gross output,thousands,29400,
2000,Prince Edward Island,Total operating revenue,thousands,29100,
2000,Prince Edward Island,Sales of aqua products and services,thousands,29000,
2000,Prince Edward Island,Gross value added (factor cost),thousands,21300,
2000,Prince Edward Island,Salaries and wages,thousands,10000,
2000,Nova Scotia,Gross output,thousands,47000,
2000,Nova Scotia,Total operating revenue,thousands,44000,
2000,Nova Scotia,Sales of aqua products and services,thousands,43500,
2000,Nova Scotia,Gross value added (factor cost),thousands,21600,
2000,Nova Scotia,Salaries and wages,thousands,8000,
2000,New Brunswick,Gross output,thousands,314900,
2000,New Brunswick,Total operating revenue,thousands,289900,
2000,New Brunswick,Sales of aqua products and services,thousands,281900,
2000,New Brunswick,Gross value added (factor cost),thousands,106400,
2000,New Brunswick,Salaries and wages,thousands,26000,
2000,Quebec,Gross output,thousands,12370,
2000,Quebec,Total operating revenue,thousands,12270,
2000,Quebec,Sales of aqua products and services,thousands,12000,
2000,Quebec,Gross value added (factor cost),thousands,5770,
2000,Quebec,Salaries and wages,thousands,2200,
2000,Ontario,Gross output,thousands,23000,
2000,Ontario,Total operating revenue,thousands,22800,
2000,Ontario,Sales of aqua products and services,thousands,17600,
2000,Ontario,Gross value added (factor cost),thousands,8100,
2000,Ontario,Salaries and wages,thousands,4000,
2000,Prairie provinces,Gross output,thousands,,x
2000,Prairie provinces,Total operating revenue,thousands,,x
2000,Prairie provinces,Sales of aqua products and services,thousands,,x
2000,Prairie provinces,Gross value added (factor cost),thousands,,x
2000,Prairie provinces,Salaries and wages,thousands,,x
2000,British Columbia,Gross output,thousands,345800,
2000,British Columbia,Total operating revenue,thousands,320800,
2000,British Columbia,Sales of aqua products and services,thousands,305300,
2000,British Columbia,Gross value added (factor cost),thousands,139400,
2000,British Columbia,Salaries and wages,thousands,40000,
2001,Canada,Gross output,thousands,751200,
2001,Canada,Total operating revenue,thousands,716800,
2001,Canada,Sales of aqua products and services,thousands,690030,
2001,Canada,Gross value added (factor cost),thousands,255200,
2001,Canada,Salaries and wages,thousands,101100,
2001,Newfoundland and Labrador,Gross output,thousands,15000,
2001,Newfoundland and Labrador,Total operating revenue,thousands,15000,
2001,Newfoundland and Labrador,Sales of aqua products and services,thousands,14200,
2001,Newfoundland and Labrador,Gross value added (factor cost),thousands,5550,
2001,Newfoundland and Labrador,Salaries and wages,thousands,3000,
2001,Prince Edward Island,Gross output,thousands,29600,
2001,Prince Edward Island,Total operating revenue,thousands,29500,
2001,Prince Edward Island,Sales of aqua products and services,thousands,29400,
2001,Prince Edward Island,Gross value added (factor cost),thousands,21350,
2001,Prince Edward Island,Salaries and wages,thousands,10500,
2001,Nova Scotia,Gross output,thousands,26400,
2001,Nova Scotia,Total operating revenue,thousands,27400,
2001,Nova Scotia,Sales of aqua products and services,thousands,26900,
2001,Nova Scotia,Gross value added (factor cost),thousands,10250,
2001,Nova Scotia,Salaries and wages,thousands,7000,
2001,New Brunswick,Gross output,thousands,297500,
2001,New Brunswick,Total operating revenue,thousands,282500,
2001,New Brunswick,Sales of aqua products and services,thousands,277100,
2001,New Brunswick,Gross value added (factor cost),thousands,86800,
2001,New Brunswick,Salaries and wages,thousands,31000,
2001,Quebec,Gross output,thousands,12500,
2001,Quebec,Total operating revenue,thousands,12500,
2001,Quebec,Sales of aqua products and services,thousands,12230,
2001,Quebec,Gross value added (factor cost),thousands,5650,
2001,Quebec,Salaries and wages,thousands,2500,
2001,Ontario,Gross output,thousands,23300,
2001,Ontario,Total operating revenue,thousands,23000,
2001,Ontario,Sales of aqua products and services,thousands,17800,
2001,Ontario,Gross value added (factor cost),thousands,9100,
2001,Ontario,Salaries and wages,thousands,4100,
2001,Prairie provinces,Gross output,thousands,,x
2001,Prairie provinces,Total operating revenue,thousands,,x
2001,Prairie provinces,Sales of aqua products and services,thousands,,x
2001,Prairie provinces,Gross value added (factor cost),thousands,,x
2001,Prairie provinces,Salaries and wages,thousands,,x
2001,British Columbia,Gross output,thousands,346900,
2001,British Columbia,Total operating revenue,thousands,326900,
2001,British Columbia,Sales of aqua products and services,thousands,312400,
2001,British Columbia,Gross value added (factor cost),thousands,116500,
2001,British Columbia,Salaries and wages,thousands,43000,
2002,Canada,Gross output,thousands,756750,
2002,Canada,Total operating revenue,thousands,754350,
2002,Canada,Sales of aqua products and services,thousands,734100,
2002,Canada,Gross value added (factor cost),thousands,220005,
2002,Canada,Salaries and wages,thousands,108600,
2002,Newfoundland and Labrador,Gross output,thousands,16350,
2002,Newfoundland and Labrador,Total operating revenue,thousands,16350,
2002,Newfoundland and Labrador,Sales of aqua products and services,thousands,15700,
2002,Newfoundland and Labrador,Gross value added (factor cost),thousands,6705,
2002,Newfoundland and Labrador,Salaries and wages,thousands,3200,
2002,Prince Edward Island,Gross output,thousands,28000,
2002,Prince Edward Island,Total operating revenue,thousands,27800,
2002,Prince Edward Island,Sales of aqua products and services,thousands,27700,
2002,Prince Edward Island,Gross value added (factor cost),thousands,19630,
2002,Prince Edward Island,Salaries and wages,thousands,10800,
2002,Nova Scotia,Gross output,thousands,24500,
2002,Nova Scotia,Total operating revenue,thousands,24500,
2002,Nova Scotia,Sales of aqua products and services,thousands,24300,
2002,Nova Scotia,Gross value added (factor cost),thousands,10550,
2002,Nova Scotia,Salaries and wages,thousands,6000,
2002,New Brunswick,Gross output,thousands,313600,
2002,New Brunswick,Total operating revenue,thousands,286600,
2002,New Brunswick,Sales of aqua products and services,thousands,282300,
2002,New Brunswick,Gross value added (factor cost),thousands,92600,
2002,New Brunswick,Salaries and wages,thousands,33000,
2002,Quebec,Gross output,thousands,15350,
2002,Quebec,Total operating revenue,thousands,15250,
2002,Quebec,Sales of aqua products and services,thousands,14800,
2002,Quebec,Gross value added (factor cost),thousands,7790,
2002,Quebec,Salaries and wages,thousands,3300,
2002,Ontario,Gross output,thousands,26000,
2002,Ontario,Total operating revenue,thousands,25900,
2002,Ontario,Sales of aqua products and services,thousands,19700,
2002,Ontario,Gross value added (factor cost),thousands,11980,
2002,Ontario,Salaries and wages,thousands,4300,
2002,Prairie provinces,Gross output,thousands,,x
2002,Prairie provinces,Total operating revenue,thousands,,x
2002,Prairie provinces,Sales of aqua products and services,thousands,,x
2002,Prairie provinces,Gross value added (factor cost),thousands,,x
2002,Prairie provinces,Salaries and wages,thousands,,x
2002,British Columbia,Gross output,thousands,332950,
2002,British Columbia,Total operating revenue,thousands,357950,
2002,British Columbia,Sales of aqua products and services,thousands,349600,
2002,British Columbia,Gross value added (factor cost),thousands,70750,
2002,British Columbia,Salaries and wages,thousands,48000,
2003,Canada,Gross output,thousands,728450,
