REF_DATE,GEO,Trade flow detail,Product,SCALAR_FACTOR,VALUE,STATUS
2007,Canada,Total supply and total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3577.7,
2007,Canada,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,546.9,
2007,Canada,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,546.9,
2007,Canada,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1132.3,
2007,Canada,International re-exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,12.1,
2007,Canada,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,506.8,
2007,Newfoundland and Labrador,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,426.3,
2007,Newfoundland and Labrador,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,607.8,
2007,Newfoundland and Labrador,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,379.5,
2007,Newfoundland and Labrador,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.9,
2007,Newfoundland and Labrador,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,13.8,
2007,Newfoundland and Labrador,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,31.3,
2007,Newfoundland and Labrador,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,13.1,
2007,Newfoundland and Labrador,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.2,
2007,Newfoundland and Labrador,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Newfoundland and Labrador,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.2,
2007,Newfoundland and Labrador,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Newfoundland and Labrador,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Newfoundland and Labrador,To Yukon,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Newfoundland and Labrador,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,60.5,
2007,Newfoundland and Labrador,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,23.1,
2007,Newfoundland and Labrador,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,167.8,
2007,Newfoundland and Labrador,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,23.7,
2007,Prince Edward Island,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,150.6,
2007,Prince Edward Island,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,172.0,
2007,Prince Edward Island,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.9,
2007,Prince Edward Island,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,113.4,
2007,Prince Edward Island,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.2,
2007,Prince Edward Island,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,19.3,
2007,Prince Edward Island,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.4,
2007,Prince Edward Island,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.4,
2007,Prince Edward Island,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Prince Edward Island,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.1,
2007,Prince Edward Island,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,25.4,
2007,Prince Edward Island,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,36.2,
2007,Prince Edward Island,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,33.3,
2007,Prince Edward Island,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.1,
2007,Nova Scotia,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,318.2,
2007,Nova Scotia,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,644.8,
2007,Nova Scotia,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,5.1,
