license,species,speciestyp,county,sitestatus,hectares,has_marine_plant
AQ1295,American oyster,Shellfish,Inverness,Issued,1.52983139798,False
AQ1291,American oyster,Shellfish,Inverness,Issued,2.73775900708,False
AQ1230,American oyster,Shellfish,Richmond,Issued,4.89802370977,False
AQ1232,American oyster,Shellfish,Richmond,Issued,5.19266732892,False
AQ1229,American oyster,Shellfish,Richmond,Issued,5.21344955986,False
AQ1231,American oyster,Shellfish,Richmond,Issued,4.98370058122,False
AQ0330,American oyster,Shellfish,Victoria,Issued,11.5381744796,False
AQ1062,American oyster,Shellfish,Victoria,Issued,25.9202753699,False
AQ0991,American oyster,Shellfish,Richmond,Issued,2.4519961447,False
AQ0915,American oyster,Shellfish,Inverness,Issued,0.818060494553,False
AQ0914,American oyster,Shellfish,Inverness,Issued,0.153612421963,False
AQ0906,American oyster,Shellfish,Inverness,Issued,0.447998689238,False
AQ0838,American oyster,Shellfish,Richmond,Issued,21.6528697655,False
AQ0627,American oyster; Blue Mussel,Shellfish,Victoria,Issued,17.3935860835,False
AQ0193,Atlantic Salmon; Rainbow Trout; Arctic Char; Brook Trout; Blue Mussel; American oyster,Combined Finfish and Shellfish,Victoria,Issued,6.66872287445,False
AQ0683,Bay Quahog; Sea Scallop; Blue Mussel; American oyster,Shellfish,Richmond,Issued,5.95177826723,False
AQ0328,American oyster,Shellfish,Victoria,Issued,21.3396630869,False
AQ0455,American oyster,Shellfish,Cape Breton,Issued,0.831956770605,False
AQ0496,American oyster,Shellfish,Inverness,Issued,2.23174471473,False
AQ0320,American oyster,Shellfish,Inverness,Issued,0.351336944572,False
AQ1088,American oyster,Shellfish,Cape Breton,Issued,3.93789594026,False
AQ1246,American oyster,Shellfish,Victoria,Issued,11.1215054101,False
AQ0280,American oyster,Shellfish,Cape Breton,Issued,3.73209621588,False
AQ1108,American oyster,Shellfish,Cape Breton,Issued,3.83503941366,False
AQ0136,American oyster; Blue Mussel; Sea Scallop; Bay Scallop,Shellfish,Inverness,Issued,14.99576756,False
AQ1276,American oyster,Shellfish,Richmond,Issued,0.628290173846,False
AQ1289,American oyster,Shellfish,Inverness,Issued,3.00047542129,False
AQ1235,American oyster,Shellfish,Victoria,Issued,17.1199559229,False
AQ1225,American oyster,Shellfish,Victoria,Issued,3.6868228749,False
AQ1306,American oyster,Shellfish,Inverness,Issued,4.00881197249,False
AQ1315,American oyster,Shellfish,Inverness,Issued,3.99969265908,False
AQ1195,American oyster,Shellfish,Inverness,Issued,4.00144264555,False
AQ1331,American oyster,Shellfish,Inverness,Issued,3.99995944426,False
AQ1327,American oyster,Shellfish,Inverness,Issued,4.00344542979,False
AQ1330,American oyster,Shellfish,Inverness,Issued,3.94234101993,False
AQ1346,American oyster,Shellfish,Inverness,Issued,4.5000426991,False
AQ1361,American oyster,Shellfish,Inverness,Issued,2.67333385642,False
AQ0638,American oyster,Shellfish,Cape Breton,Issued,3.21952434685,False
AQ1189,Blue Mussel,Shellfish,Victoria,Issued,136.496722847,False
AQ1374,Blue Mussel,Shellfish,Victoria,Issued,38.2674711933,False
AQ1187,American oyster; Blue Mussel; Sea Scallop; Kelp,Shellfish,Victoria,Issued,73.2335041912,True
AQ1373,Blue Mussel,Shellfish,Victoria,Issued,69.2483231873,False
AQ1091,American oyster; Blue Mussel; Dulse; Finger Kelp; Sea Lettuce; Sugar Kelp,Shellfish; Marine Plants,Guysborough,Issued,4.95685512059,True
AQ0331,American oyster,Shellfish,Cumberland,Issued,2.16750423554,False
AQ1228,Bay Quahog,Shellfish,Digby,Issued,1682.02580472,False
AQ1244,Blue Mussel,Shellfish,Lunenburg,Issued,5.4061486038,False
AQ1205,Rainbow Trout; Atlantic Salmon,Finfish,Queens,Issued,3.99320798799,False
AQ1157,Blue Mussel; Bay Scallop; European oyster; Sea Scallop,Shellfish,Lunenburg,Issued,14.4427334782,False
AQ1114,American oyster; Blue Mussel,Shellfish,Guysborough,Issued,11.0809491658,False
AQ1113,American oyster; Blue Mussel,Shellfish,Guysborough,Issued,3.09604932052,False
AQ1100,Blue Mussel,Shellfish,Guysborough,Issued,8.26548944291,False
AQ0716,Atlantic Salmon; Rainbow Trout,Finfish,Richmond,Issued,22.9741913125,False
AQ1086,American oyster; Bay Scallop; Bay Quahog; Razor Clam,Shellfish,Pictou,Issued,1.93794875228,False
AQ1472,American oyster; Blue Mussel; European oyster; Sea Scallop,Shellfish; Marine Plants,Halifax,Issued,6.78237440605,True
AQ1047,American oyster; Blue Mussel; Sea Scallop,Shellfish,Shelburne,Issued,10.0030437797,False
AQ1042,Sea Scallop; Bay Scallop; American oyster; European oyster,Shellfish,Annapolis,Issued,98.5008831167,False
AQ1041,Atlantic Salmon,Finfish,Annapolis,Issued,11.9853798205,False
AQ1040,Atlantic Salmon; Lump Fish,Finfish,Annapolis,Issued,8.20595097144,False
AQ1037,European oyster; Blue Mussel; Sea Scallop; American oyster; Soft-shell Clam,Shellfish,Digby,Issued,7.7366234189,False
AQ1006,Atlantic Cod; Atlantic Halibut; Atlantic Salmon; Rainbow Trout; Blue Mussel; Dulse; Sea Scallop; Sugar Kelp; Finger Kelp; Winged Kelp,Finfish; Shellfish; & Marine P,Lunenburg,Issued,7.61133857069,True
AQ0955,Rainbow Trout,Finfish,Yarmouth,Issued,4.27869265335,False
AQ0912,Rainbow Trout,Finfish,Yarmouth,Issued,2.58624660191,False
AQ0911,American oyster; Bay Scallop; Bay Quahog,Shellfish,Yarmouth,Issued,2.18853058907,False
AQ0904,American oyster; Blue Mussel; Sea Scallop,Shellfish,Guysborough,Issued,8.44580320035,False
AQ0900,Rainbow Trout,Finfish,Yarmouth,Issued,4.28251123736,False
AQ0899,Rainbow Trout,Finfish,Yarmouth,Issued,2.53294675019,False
AQ0846,European oyster; American oyster; Blue Mussel; Sea Scallop,Shellfish,Lunenburg,Issued,4.50014833526,False
AQ0845,Atlantic Salmon; Rainbow Trout,Finfish,Inverness,Issued,1.57484748491,False
AQ0839,American oyster; Blue Mussel,Shellfish,Guysborough,Issued,14.7475090035,False
AQ0835,Atlantic Salmon; Rainbow Trout,Finfish,Queens,Issued,8.03276893821,False
AQ0833,Atlantic Salmon; Rainbow Trout,Finfish,Halifax,Issued,3.34530198223,False
AQ0828,Soft-shell Clam; Sea Scallop; European oyster; Blue Mussel; Bay Quahog; Sugar Kelp,Shellfish; Marine Plants,Digby,Issued,24.0005104205,True
AQ0814,Rainbow Trout; Atlantic Salmon,Finfish,Inverness,Issued,1.39990304647,False
AQ1129,American oyster; Bay Quahog; Bay Scallop,Shellfish,Pictou,Issued,6.83452916607,False
AQ0177,Bay Scallop; Bay Quahog; Bar & Surf Clam; American oyster,Shellfish,Pictou,Issued,22.2366279779,False
AQ1224,Bar & Surf Clam; Bay Quahog; Bay Scallop; American oyster,Shellfish,Pictou,Issued,58.5418333742,False
AQ1176,Bay Quahog; American oyster,Shellfish,Pictou,Issued,2.71679342587,False
AQ0772,Atlantic Salmon; Rainbow Trout,Finfish,Halifax,Issued,35.9985938407,False
AQ0758,Blue Mussel,Shellfish,Victoria,Issued,33.0334423911,False
AQ0747,American oyster; Blue Mussel; Sea Scallop,Shellfish,Guysborough,Issued,5.47336809817,False
AQ0745,Atlantic Salmon; Rainbow Trout,Finfish,Victoria,Issued,21.6009403788,False
AQ0742,Atlantic Salmon; Rainbow Trout,Finfish,Digby,Issued,1.51615534665,False
AQ0726,Blue Mussel; Sea Scallop,Shellfish,Richmond,Issued,5.97946737257,False
AQ0667,Blue Mussel; Sea Scallop,Shellfish,Richmond,Issued,8.02922532555,False
