license,ownership,hectares
6025,Acadian Seaplants Ltd.,2353.51607014
6024,Scotia Garden Seafoods Inc.,76677.6703098
6028,Scotia Garden Seafoods Inc.,982.53570995
6027,Acadian Seaplants Ltd.,846.232022438
6038,Natural Ocean Products Inc.,9971.75694106
6004,Acadian Seaplants Ltd.,10894.9828218
6005,Acadian Seaplants Ltd.,9638.22176596
6026,Acadian Seaplants Ltd.,1418.07120886
6048,Acadian Seaplants Ltd.,848.683036595
6029,Blaine E. Bond,30132.2741394
6050,Scotia Garden Seafoods Inc.,15834.3094274
6040,Scotia Garden Seafoods Inc.,4244.29936064
6037,Natural Ocean Products Inc.,10931.5618493
6049,Scotia Garden Seafoods Inc.,6973.88955526
6032,Acadian Seaplants Ltd.,62367.1842704
6033,Acadian Seaplants Ltd.,62593.1251856
6035,Acadian Seaplants Ltd.,40949.3721975
6041,Acadian Seaplants Ltd.,7246.23776462
6044,Acadian Seaplants Ltd.,34190.2181351
6043,Acadian Seaplants Ltd.,33590.7457036
6036,Acadian Seaplants Ltd.,56167.2469546
6042,Acadian Seaplants Ltd.,3875.81539679
