COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,MEASURE,PERIOD,VALUE,STATUS,UN_Code,Country_Name,Continent_Group_En,EcoClass_Group_En,GeoRegion_Group_En,3A_Code,Identifier,Seaweed_Name,Scientific_Name,CPC_Class_En
16,SWR,77,Q_tlw,2021,0.001,A,16,American Samoa,Oceania,High-income countries,Polynesia,SWR,3634,Red algae,Rhodophyta,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
16,SWR,77,Q_tlw,2022,0.003,A,16,American Samoa,Oceania,High-income countries,Polynesia,SWR,3634,Red algae,Rhodophyta,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1961,2000,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1962,1800,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1963,1700,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1964,1700,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1965,5000,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1966,1600,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1967,3100,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1968,1700,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1969,2200,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1970,2200,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1971,600,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1972,1200,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1973,1700,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
32,SWB,41,Q_tlw,1974,1900,A,32,Argentina,Americas,Upper-middle income countries,South America,SWB,3628,Brown algae,Phaeophyceae,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
